Query	UserId	Lenth	templateId	templateText	etalon	lem_etalon	score	LemQuery	LenQuery	LenEtalon
Добрый вечер! Подскажите проводки по начислению недоимки по итогам выездной проверки по НДС.	13231787	13	527018	Ошибки в бухучете могут привести к недоплате налогов. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/589814/actual/	как учесть недоимку и штраф по итогам налоговой проверки	учитывать недоимка и штраф итог налоговый проверка	0.998759150505066	проводка начисление недоимка итог выездной проверка ндс	7	7
Здравствуйте! Принимаются ли расходы на страхование ОСАГО транспортного средства (экскаватора) при УСН доходы-расходы?	8243619	13	497997	При УСН с объектом «доходы» авансовый платеж и налог уменьшают на обязательные взносы на пенсионное, медицинское и социальное страхование работников (подп. 1 п. 3.1 ст. 346.21 НК). Читайте подробнее https://vip.1gl.ru/#/document/86/535830/actual/	расходы на страхования авто осаго принимаются в усн	расход страхование авто осаго приниматься усна	0.996906995773315	приниматься ли расход страхование осаго транспортный средство экскаватор усна доход расход	11	6
Есть ли предельная сумма отчислений в резерв на оплату отпусков в налоговом учете	1619525	13	426860	Расчет ежемесячного процента отчислений в резерв предстоящих расходов на оплату отпусков прописан в абзаце 2 пункта 1 статьи 324.1 НК. Далее см. https://vip.1gl.ru/#/document/86/314974/actual/	предельная сумма отчислений в резерв по отпускам	предельный сумма отчисление резерв отпуск	0.998821139335632	предельный сумма отчисление резерв оплата отпуск налоговый учет	8	5
Здравствуйте! А есть образец согласия на обработку персональных данных при приеме на работу?	270766	13	559494	Если вы собираетесь обрабатывать персональные данные сотрудника, возьмите у него письменное согласие. Подробнее в материале https://vip.1gl.ru/#/document/86/645090/actual/	образец согласия на обработку персональных данных при приеме на работу	образец согласие обработка персональный данные прием работа	0.998701989650726	образец согласие обработка персональный данные прием работа	7	7
Добрый день! Как подать корректировку в уведомлении, если изменилась сумма налога ( уменьшилась)	7997305	13	552424	При ошибке в уведомлении об исчисленных налогах и взносах, направьте в налоговую инспекцию новое уведомление с верными реквизитами. Далее читайте https://vip.1gl.ru/#/document/86/631835/actual/	как подать корректировку уведомления об исчисленных суммах налогов	подавать корректировка уведомление исчислять сумма налог	0.995652318000793	подавать корректировка уведомление изменяться сумма налог уменьшаться	7	6
Можно ли включить транспортные расходы по доставке основного средства в расходы текущего периода,	7741197	13	478674	Учет транспортных расходов зависит от нескольких факторов. Подробнее смотрите https://vip.1gl.ru/#/document/16/121357/actual/	отражение транспортных расходов по доставке	отражение транспортный расход доставка	0.999257385730743	включать транспортный расход доставка основный средство расход текущий период	9	4
Добрый день. Физлицо принято по договору ГПХ. Нужно ли на него сдавать ЕФС-1?	19108763	13	513480	Заполните подраздел 1.1. подраздела 1 формы ЕФС-1 по каждому исполнителю, с которым заключили договор ГПХ. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/12/444114/actual/	как сдать ефс-1 договор гпх	сдавать ефс 1 договор гпх	0.99464225769043	физлицо принимать договор гпх он сдавать ефс 1	8	5
как ИП получить выплату на ребенка до 1,5 лет?у ИП же нет 2ндфл?	811234	13	505965	ИП, который добровольно зарегистрирован в СФР и уплатил добровольные взносы в предыдущем году, вправе получить пособие по уходу за ребенком до 1,5 лет. Далее читайте https://vip.1gl.ru/#/document/86/555386/actual/	как ип может получить пособие до 1,5 лет	ипать мочь получать пособие 1 5 год	0.979029655456543	ипать получать выплата ребенок 1 5 год ипать же нет 2ндфл	11	7
Какой срок для подачи уточненных налоговых деклараций (к доначислению НДС) по исправлению ошибок?	5463825	13	558586	Срок подачи уточненной декларации в связи с переплатой НДС законодательно не установлен. Подробнее смотрите https://vip.1gl.ru/#/document/86/643377/actual/	срок подачи уточненной декларации по ндс	срок подача уточнять декларация ндс	0.996864974498749	какой срок подача уточнять налоговый декларация доначисление ндс исправление ошибка	10	5
Добрый день, можем ли мы принять на работу работника без военного билета?	181529	12	550964	Если соискатель не предъявил при приеме на работу документы воинского учета, в частности, военный билет, то это не будет основанием для отказа в трудоустройстве. Далее см. https://vip.1gl.ru/#/document/12/481992/actual/	Можем ли мы принять сотрудника без военного билета?	мы принимать сотрудник без военный билет	0.998464107513428	мы принимать работа работник без военный билет	7	6
Добрый день, нужна форма: справка работнику о доходах за последние 3 месяца.	3656555	12	514222	Все налоговые агенты по НДФЛ обязаны по итогам года представить в ИФНС сведения о доходах и суммах налога физлица. Смотрите подробнее https://vip.1gl.ru/#/document/16/132360/actual/	справка о доходах за 3 месяца	справка доход 3 месяц	0.989561915397644	форма справка работник доход последний 3 месяц	7	4
Добрый день, помогите найти решение единственного учредителя об утверждении окончательного ликвидационного баланса	16210087	12	444805	Сдайте по форме, рекомендованной ФНС.Типовые формы промежуточного и окончательного ликвидационных балансов не утверждены. Подробнее смотрите https://vip.1gl.ru/#/document/12/355541/actual/	как составить окончательный ликвидационный баланс	составлять окончательный ликвидационный баланс	0.996313691139221	решение единственный учредитель утверждение окончательный ликвидационный баланс	7	4
Добрый день. Подскажите, что нужно сдавать в военкомат какие уведомления или отчеты?	14998762	12	550205	Сдавайте в военкомат карточку учета организации по форме № 18. Подробнее см. https://vip.1gl.ru/#/document/86/627312/actual/	какой отчет нужно сдавать в военкомат	какой отчет сдавать военкомат	0.994028687477112	сдавать военкомат какой уведомление или отчет	6	4
как расчитать авансовый платеж по транспортному налогу в 2023 по г Москве	1821819	12	509071	Если отчетные периоды установлены региональным законом, то в течение года организация должна рассчитывать авансовые платежи. Подробнее см. https://vip.1gl.ru/#/document/86/561213/actual/	транспортный налог авансовые платежи в москве	транспортный налог авансовый платеж москва	0.99873298406601	расчитывать авансовый платеж транспортный налог 2023 г москва	8	5
Здравствуйте. Нужно ли подавать нулевые персонифицированные сведения, если у компании нет сотрудников?	4524827	12	521139	Персонифицированные сведения о физлицах в ИФНС надо сдавать, даже если нет штатных сотрудников и подрядчиков. Подробнее смотрите https://vip.1gl.ru/#/document/86/551283/actual/	нужно ли отправлять нулевые персонифицированные сведения сотрудников нет	нулевой персонифицировать сведение сотрудник нет	0.999863564968109	подавать нулевой персонифицировать сведение компания нет сотрудник	7	5
Добрый день. Подскажите пожалуйста в транспортных накладных нужны печати организации или нет?	17808054	12	476444	Печать на транспортной накладной необязательна. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/496947/actual/	транспортная накладная нужны печати	транспортный накладной печать	0.999428749084473	транспортный накладной печать организация или нет	6	3
Добрый день. Может ли быть физ лицо одновременно и самозанятым и ИП?	11771574	12	100000008	Вот ссылка по вашему вопросу https://links.action-media.ru/n98u	Может ли человек быть одновременно самозанятым и ИП 	человек быть одновременно самозанимать и ипать	0.999715864658356	быть физ лицо одновременно и самозанимать и ипать	8	6
Здравствуйте! Подскажите, пожалуйста, момент начисления НДФЛ и страховых взносов по договорам ГПХ.	9605506	12	525659	НДФЛ с выплат по договорам гражданско-правового характера отражайте в разделе 1 расчета 6-НДФЛ в периоде, на который выпадает срок перечисления НДФЛ в бюджет. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/588638/actual/	договор гпх 6-ндфл и страховые взносы	договор гпх 6 ндфл и страховой взнос	0.126009941101074	момент начисление ндфл и страховой взнос договор гпх	8	7
добрый день. какие отчеты и сроки по воинскому учету надо сдавать отчеты	2977952	12	563460	С 1 октября 2023 года штрафы за нарушения в воинском учете повысили (Федеральный закон от 31.07.2023 № 404-ФЗ). Подробнее см. https://vip.1gl.ru/#/document/86/627300/actual/	воинский учет какие отчеты надо сдать в октябре ноябре	воинский учет какой отчет надо сдавать октябрь ноябрь	0.999802172183991	какой отчет и срок воинский учет надо сдавать отчет	9	8
Добрый день, какоц код по ОКЗ будет по должности инженер по проекту?	3521276	12	513487	Укажите в графе 6 кодовое обозначение выполняемой функции. Далее см. https://vip.1gl.ru/#/document/86/524144/actual/	код окз инженера пто	код окз инженер пто	0.991518974304199	какоц код окз быть должность инженер проект	7	4
Добрый день. Как отразить в 1 с комиссию за выдачу банковской гарантии	3118006	12	445974	Если получение банковской гарантии является обязательным условием деятельности организации, комиссию банка включайте в состав прочих расходов, связанных с производством и реализацией (подп. 25 п. 1 ст. 264 НК). Далее см. https://vip.1gl.ru/#/document/86/460971/actual/	комиссия за выдачу банковской гарантии	комиссия выдача банковский гарантия	0.998940169811249	отражать 1 с комиссия выдача банковский гарантия	7	4
Добрый день! Подскажите, пожалуйста, как оформить платежное поручение по задолженности по алиментам?	2703726	12	454225	Чтобы заполнить платежное поручение по удержанию по неналоговым платежам на судебных приставов, например, алиментов, используйте реквизиты в исполнительном документе. Подробнее см. https://vip.1gl.ru/#/document/86/471934/actual/	как оформить платежное поручение при уплате алиментов	оформлять платежный поручение уплата алименты	0.999703586101532	оформлять платежный поручение задолженность алименты	5	5
Как заполнить транспортный раздел 1-т, если организация своим транспортом осуществляет доставку покупателю	803058	12	478686	У продавца возникают транспортные расходы при продаже товаров, работ, услуг, собственной продукции. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/453968/actual/	транспортные расходы на доставку покупателям	транспортный расход доставка покупатель	0.0068029602989554	заполнять транспортный раздел 1 т организация свой транспорт осуществлять доставка покупатель	11	4
Здравствуйте! какие документы должен предоставить самозанятый компании компании ,которой он оказывал услуги?	3552824	12	522554	Сделки с самозанятым гражданином оформляйте с учетом общих требований ГК (п. 1 ст. 158, п. 1 ст. 161 ГК, п. 1 письма ФНС от 20.02.2019 № СД-4-3/2899). Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/584511/actual/	какие документы должен предоставить самозанятый	какой документ должный предоставлять самозанимать	0.99962717294693	какой документ должный предоставлять самозанимать компания компания который он оказывать услуга	11	5
добрый день. У вас можно найти ставки рефинасирования цб за 2021 год?	7025946	12	1768	Совет директоров Банка России принял решение повысить ключевую ставку с 18 сентября 2023 года на 100 б.п., до 13,00% годовых. Подробнее смотрите https://vip.1gl.ru/#/document/16/85022/actual/	ставка рефинансирования цб 2021	ставка рефинансирование цб 2021	0.998417139053345	вы можно ставка рефинасирование цб 2021 год	7	4
Добрый день! Может ли ООО выдать беспроцентный займ сотруднику на приобретение жилья	12427275	12	540438	Беспроцентный денежный заем можно выдать как организации, так и физлицу, в том числе директору и иному сотруднику, собственнику бизнеса. Подробнее см. https://vip.1gl.ru/#/document/86/610537/actual/	займ сотруднику беспроцентный на жилье	заем сотрудник беспроцентный жилье	0.999304533004761	ооо выдавать беспроцентный заем сотрудник приобретение жилье	7	4
Добрый день. Как оформить КЭП для работы в ЕГАИС на сотрудника организации?	10877493	12	457500	ЛесЕГАИС предназначена для прослеживания и учета заготовки и поставок древесины, пиломатериалов и иной продукции, изготавливаемой из древесины. Подробнее в материале https://vip.1gl.ru/#/document/16/121884/actual/	работа егаис лес	работа егаис лес	0.0046884389594197	оформлять кэп работа егаис сотрудник организация	6	3
доброе утро! счет-оферта на услуги, бланк и образец заполнения, пришлите пожалуйста, спасибо	3393977	12	414869	Счет оферта – это счет, в котором кроме наименования, количество и цены товаров или услуг, прописаны также основные условия договора: порядок и сроки оплаты и отгрузки, способ доставки и т.п. Но в отличие от договора, счет-оферту не нужно подписывать покупателю. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/12/410220/actual/	Бланк счета-оферты на услуги	бланк счет оферта услуга	0.999319076538086	счет оферта услуга бланк и образец заполнение спасибо	8	4
Добрый день . Можно ли выплатить пособие на погребение через зарплатный проект?	2904902	12	517171	Организация может выплатить сотруднику или родственнику умершего работника пособие на погребение (п. 4 Порядка, утвердил постановлением ФСС от 22.02.1996 № 16). Подробнее см. https://vip.1gl.ru/#/document/16/132875/actual/	как выплатить пособие на погребение	выплачивать пособие погребение	0.999108910560608	выплачивать пособие погребение зарплатный проект	5	3
Добрый день!подскажите учет ,проводки по лизингу у лизингодателя и лизингополучателя,БУ и НУ.Спасибо	417085	12	446855	Аренда c правом выкупа и субаренды (лизинг) имущества, в том числе автомобиля –  это операции по оформлению, налогам, бухучету объекта аренды (лизинга) по ФСБУ 25/2018. Подробнее см. https://vip.1gl.ru/#/document/16/116244/actual/	лизинг учет у лизингополучателя ну и бу	лизинг учет лизингополучатель ну и бу	0.998091816902161	учет проводка лизинг лизингодатель и лизингополучатель бу и ну спасибо	10	6
у организации на балансе есть электроштабелёр, должна ли организация платить транспортный налог?	1624538	12	537689	Налогоплательщикам не надо определять, в какую именно ИФНС следует заплатить транспортный налог и авансовые платежи по нему. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/606148/actual/	куда платить транспортный налог организации	куда платить транспортный налог организация	0.996508538722992	организация баланс быть электроштабелер должный ли организация платить транспортный налог	10	5
можно ли оказывать материальную помощь раз в квартал в связи с инфляцией	2159104	12	505751	Работодатель вправе оказать сотруднику или члену его семьи материальную помощь – по случаю рождения детей, в связи с болезнью близкого или его смертью и т. д. В рекомендации:– документальное оформление;– НДФЛ и взносы;– НДС с матпомощи имуществом;– налог на прибыль;– УСН;– бухучет;– матпомощь к отпуску.Также смотрите, как учесть матпомощь родственникам умершего сотрудника и в связи с мобилизацией. Подробнее в материале https://vip.1gl.ru/#/document/16/130831/actual/	материальная помощь в связи с болезнью	материальный помощь связь с болезнь	0.980292558670044	оказывать материальный помощь раз квартал связь с инфляция	8	5
Добрый день. Какие документы запросить у самозанятого для должной осмотрительности юридических лиц?	8636967	12	522555	Чтобы учесть расходы при расчете налога на прибыль или УСН, нужен чек из приложения «Мой налог», который выдал самозанятый. Подробнее смотрите https://vip.1gl.ru/#/document/86/584511/actual/	какие закрывающие документы у самозанятого	какой закрывать документ самозанятой	0.999440491199493	какой документ запрашивать самозанятой должный осмотрительность юридический лицо	8	4
Добрый день. подскажите как рассчитать компенсацию за неиспользованный отпуск при увольнении. Спасибо	6080984	12	445536	Чтобы рассчитать компенсацию за неиспользованный отпуск при увольнении, определите:количество дней неиспользованного отпуска;продолжительность расчетного периода;заработок сотрудника за расчетный период;средний дневной заработок;итоговую сумму компенсации за неиспользованный отпуск при увольнении.Рассчитайте компенсацию по-особым правилам, если в расчетном периоде сотруднику выплачивали премии или у него менялся размер зарплаты. Подробнее в материале https://vip.1gl.ru/#/document/16/62441/actual/	рассчитать компенсацию за неиспользованный отпуск при увольнении	рассчитать компенсация неиспользованный отпуск увольнение	0.996425211429596	рассчитать компенсация неиспользованный отпуск увольнение спасибо	6	5
можно ссылку на основании чего компенсация включается в 070 строку персонифицированного отчета?	5248464	12	520610	В строке 070 «Сведения о сумме выплат и иных вознаграждений в пользу данного физлица» персонифицированных сведений укажите сумму, начисленную за месяц, за который подаете сведения (п. 3.7 Порядка, утвердил приказом ФНС от 29.09.2022 № ЕД-7-11/878@). Читайте подробнее https://vip.1gl.ru/#/document/86/580867/actual/	строка 070 в отчете о персонифицированных сведениях	строка 070 отчет персонифицировать сведение	0.999468803405762	можно ссылка основание компенсация включаться 070 строка персонифицировать отчет	9	5
Пришлите пожалуйста ссылку , как учитывать разъездной характер работы, какие есть нюансы	476100	12	501033	Разъездная работа предполагает регулярные служебные поездки с возможностью ежедневно возвращаться домой. Подробнее смотрите https://vip.1gl.ru/#/document/16/129853/actual/	как учесть компенсацию за разъездной характер работы	учитывать компенсация разъездной характер работа	0.999084532260895	ссылка учитывать разъездной характер работа какой быть нюанс	8	5
Здравствуйте! Подскажите пожалуйста, какие пени (штрафы) за неполную (половину) уплату страховых взносов?	5281837	12	544547	Чтобы заплатить пени по налогам и страховым взносам в ИФНС, нужно перечислить ЕНП на ЕНС. Читайте подробнее https://vip.1gl.ru/#/document/86/617643/actual/	уплата пени по страховым взносам	уплата пеня страховой взнос	0.993649959564209	какой пеня штраф неполный половина уплата страховой взнос	8	4
добрый день. Изменился ли порядок подачи уведомлений по НДФЛ в августе 2023?	2251738	12	552431	В каждом месяце свой перечень налогов и взносов, по которым нужно сдать уведомление. Далее читайте https://vip.1gl.ru/#/document/16/139905/actual/	порядок подачи уведомления по ндфл за январь в 2023	порядок подача уведомление ндфл январь 2023	0.995565414428711	изменяться ли порядок подача уведомление ндфл август 2023	8	6
Самозанятый работает в организации, он оплатил в организацию, теперь налоговая хочет оштрафовать	20552885	12	522558	Организации вправе нанимать плательщиков налога на профессиональный доход по договору подряда. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/584508/actual/	организация работает с самозанятым, платить ли за него взносы	организация работать с самозанимать платить ли он взнос	0.999421298503876	самозанимать работать организация он оплачивать организация теперь налоговый хотеть оштрафовать	10	8
Добрый день. Если сотрудник находился два года на больничном. Ему положен отпуск?	15901462	12	500204	Закон ограничивает увольнение сотрудника во время болезни только в случае, когда его увольняют по инициативе организации (ст. 81 ТК). Смотрите подробнее https://vip.1gl.ru/#/document/12/453043/actual/	как уволить сотрудника, если он находится еще на больничном	увольнять сотрудник он находиться больничный	0.522808372974396	сотрудник находиться два год больничный он полагать отпуск	8	5
Добрый день. Мне нужна информация по учету выкупной стоимости по договору лизинга.	4806548	12	493048	Понятия выкупной стоимости нет ни в МСФО, ни в ФСБУ. Далее см. https://vip.1gl.ru/#/document/86/527350/actual/	учет выкупной стоимости по договору лизинга	учет выкупной стоимость договор лизинг	0.999605059623718	учет выкупной стоимость договор лизинг	5	5
что является подтверждением того, что сотрудник едет в командировку по делам организации?	10509198	12	431115	Сотрудник может выехать в командировку как на личном, так и на служебном автомобиле. Смотрите подробнее https://vip.1gl.ru/#/document/16/63244/actual/	сотрудник едет в командировку на своем транспорте	сотрудник ехать командировка свой транспорт	0.997730374336243	являться подтверждение сотрудник ехать командировка дело организация	7	5
Возврат товара поставщику (Поставщик работает без НДС). Должен ли поставщик оформить КСФ	3659191	12	445042	Возврат товара после приемки. Подробнее смотрите https://vip.1gl.ru/#/document/86/448970/actual/	возврат товара поставщику без ндс как правильно оформить	возврат товар поставщик без ндс оформлять	0.998520791530609	возврат товар поставщик поставщик работать без ндс должный ли поставщик оформлять ксф	12	6
образец платежного поручения на уплату фиксированного взноса ИП в 2023 году	3133819	11	537442	Общие правила заполнения реквизитов платежки — в рекомендации. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/605800/actual/	образец платежного поручения по фиксированным взносам ип за 2023 год	образец платежный поручение фиксированный взнос ипать 2023 год	0.999369859695435	образец платежный поручение уплата фиксированный взнос ипать 2023 год	9	8
День добрый. Подскажите, пожалуйста. Можем мы не проводить больничный лист? Спасибо	322502	11	502531	Как правило, больничное пособие начисляют и оплачивают за весь период болезни: с первого дня заболевания или получения травмы до выздоровления сотрудника или члена его семьи либо же до момента получения инвалидности. Далее см. https://vip.1gl.ru/#/document/86/546266/actual/	на сколько дней могут выдать больничный лист	сколько день мочь выдавать больничный лист	0.998700618743897	день мочь мы не проводить больничный лист спасибо	8	6
Как правильно заполнить 6 ндфл , если есть задержка по зарплате	5746265	11	525659	НДФЛ с выплат по договорам гражданско-правового характера отражайте в разделе 1 расчета 6-НДФЛ в периоде, на который выпадает срок перечисления НДФЛ в бюджет. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/588638/actual/	6-ндфл как заполнить если были гпх	6 ндфл заполнять быть гпх	0.945221960544586	заполнять 6 ндфл быть задержка зарплата	6	5
нужно ли издавать приказ об утилизации документов с истекшим сроком хранения?	4808226	11	558971	Когда срок хранения документов истек, их можно уничтожить (п. 47 Правил, утвердил приказом Росархива от 31.07.2023 № 77). Подробнее см. https://vip.1gl.ru/#/document/86/643966/actual/	утилизация документов с истекшим сроком хранения	утилизация документ с истекший срок хранение	0.999425888061523	издавать приказ утилизация документ с истекший срок хранение	8	6
очередность удержания по исполлистам, алименты 50% и задолженность по кредитам 50%	4449177	11	497864	С пособий по временной нетрудоспособности удерживать деньги можно по любым исполнительным документам. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/535683/actual/	если алименты больше 50%	алименты много 50	0.0262120738625526	очередность удержание исполлист алименты 50 и задолженность кредит 50	9	3
добрый день, может ли человек одновременно быть и самозанятым и ИП?	16132148	11	100000008	Вот ссылка по вашему вопросу https://links.action-media.ru/n98u	Может ли человек быть одновременно самозанятым и ИП 	человек быть одновременно самозанимать и ипать	0.999872148036957	человек одновременно быть и самозанимать и ипать	7	6
Здравствуйте! Интересует вопрос нужно ли начислять амортизацию на арендованные земельные участки	9525534	11	428319	ППА по договору аренды земли может не амортизироваться, если цель использования предмета аренды аналогична эксплуатации собственных земельных участков, которые признаются как инвестиционная недвижимость по переоцененной стоимости и не амортизируются в силу нормы пункта 28 ФСБУ 6/2020 (п. 17 ФСБУ 25/2018, п. 34 МСФО (IFRS) 16, п. 40А МСФО (IAS) 40). Далее см. https://vip.1gl.ru/#/document/86/440770/actual/	амортизация ппа на арендованный земельный участок	амортизация ппа арендовать земельный участок	0.997272729873657	начислять амортизация арендовать земельный участок	5	5
Добрый день. Может ли ИП оформить себе пособие на рождение ребенка?	3118006	11	505964	Право на пособие по беременности и родам есть у ИП, которая зарегистрировалась добровольно в качестве страхователя в СФР и уплатила взносы за предыдущий год. ИП представляет в отделение Социального фонда сведения о застрахованном лице, заявление о выплате пособия. Подробнее смотрите https://vip.1gl.ru/#/document/86/555385/actual/	пособие при рождении ребенка для ип	пособие рождение ребенок ипать	0.998374044895172	ипать оформлять себя пособие рождение ребенок	6	4
платить ли аванс если сотрудник был в отпуске или в командировке	18980417	11	500889	Выплатите сотруднику зарплату за первую половину за отработанное время. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/12/453414/actual/	если сотрудник был в командировке платить ли аванс	сотрудник быть командировка платить ли аванс	0.998886466026306	платить ли аванс сотрудник быть отпуск или командировка	8	6
Добрый день. Кто должен платить авансовые платежи по налогу на прибыль?	4166282	11	507662	Авансовые платежи платят все плательщики налога на прибыль, кроме театров и ряда других бюджетных учреждений. Подробнее в материале https://vip.1gl.ru/#/document/16/131242/actual/	кто должен платить авансовые платежи по налогу на прибыль	кто должный платить авансовый платеж налог прибыль	0.997344672679901	кто должный платить авансовый платеж налог прибыль	7	7
Добрый день! какие выплаты материнского капитала положены за рождение 3 ребенка	2684960	11	539198	Сумму материнского капитала на первого ребенка в размере 586 946,72 руб. увеличат на 188 681,53 руб. при рождении или усыновлении второго ребенка после  1 января 2020 года в семье, где первенец рожден или усыновлен после 1 января 2020 года. Далее читайте https://vip.1gl.ru/#/document/86/609302/actual/	материнский капитал на первого ребенка	материнский капитал первый ребенок	0.998221158981323	какой выплата материнский капитал полагать рождение 3 ребенок	8	4
добрый день ,платить ли аванс если сотрудник был в отпуске ?	3361357	11	500889	Выплатите сотруднику зарплату за первую половину за отработанное время. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/12/453414/actual/	платить ли аванс если сотрудник был в отпуске	платить ли аванс сотрудник быть отпуск	0.999742984771729	платить ли аванс сотрудник быть отпуск	6	6
Здравствуйте! Вопрос? Как передать спецтехнику учредителю в счет дивидендов. И проводки	13162854	11	505087	Решение о выплате дивидендов принимает общее собрание акционеров (участников). Подробнее смотрите https://vip.1gl.ru/#/document/16/130717/actual/	дивиденды учредителю проводки	дивиденд учредитель проводка	0.996004223823547	передавать спецтехника учредитель счет дивиденд и проводка	7	3
подскажите бухучет и налогообложение представительских расходов, есть ли ограничения по сумме	8990967	11	419859	Расходы на встречу с деловыми партнерами можно учесть по налогу на прибыль в пределах норматива. Далее см. https://vip.1gl.ru/#/document/16/73470/actual/	бухучет представительские расходы	бухучет представительский расход	0.998934149742126	бухучет и налогообложение представительский расход ограничение сумма	7	3
